epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50181,2.74966,4.24218,2.66215,0.01356,0.57408,0.05166,0.04624,0.5345,3.70011,0.83274,0.096004,4e-06,4e-06
2,2.61459,2.50814,4.09399,2.33915,0.00337,0.17701,0.0063,0.00289,1.01871,4.03073,1.29054,0.091009,8.99911e-06,8.99911e-06
3,3.33298,2.31907,4.16134,2.36932,0.00217,0.11577,0.00276,0.00079,2.24538,4.45127,2.46948,0.086014,1.39945e-05,1.39945e-05
4,4.11454,2.29486,4.18279,2.4045,0.00175,0.08872,0.00226,0.00058,2.46669,4.48521,2.71066,0.081019,1.89831e-05,1.89831e-05
5,4.7991,2.24604,4.26083,2.3174,0.00142,0.07388,0.00114,0.00027,2.53114,4.45815,2.81861,0.076024,2.39621e-05,2.39621e-05
6,5.77035,2.18822,4.1472,2.29255,0.0009,0.04031,0.00067,0.00015,2.81438,4.28865,2.6431,0.0710289,2.89285e-05,2.89285e-05
7,6.33175,2.13823,3.99805,2.22177,0.00096,0.03928,0.00069,0.00014,2.63989,4.24383,2.43094,0.0660339,3.38794e-05,3.38794e-05
8,7.10793,2.15058,4.03959,2.19836,0.00066,0.02547,0.0005,0.00016,2.33985,4.19662,2.19536,0.0610388,3.88117e-05,3.88117e-05
9,7.89969,2.06869,4.08961,2.19948,0.00098,0.0388,0.00073,0.00022,2.24762,4.16208,2.12778,0.0560437,4.37227e-05,4.37227e-05
10,8.53272,1.9597,3.94075,2.16895,0.00104,0.04571,0.00063,0.00021,2.2025,4.15403,2.09827,0.0510486,4.86094e-05,4.86094e-05
11,9.12662,2.02759,3.94584,2.18488,0.00058,0.02706,0.00041,0.00012,2.22507,4.16388,2.11924,0.0460535,5.3469e-05,5.3469e-05
12,9.82356,2.05497,3.94217,2.12394,0.00099,0.04832,0.00073,0.0002,2.18374,4.19808,2.12466,0.0410583,5.82985e-05,5.82985e-05
13,10.2964,2.11932,4.01718,2.16776,0.00126,0.06055,0.00102,0.00024,2.12595,4.20784,2.09729,0.0360631,6.30952e-05,6.30952e-05
14,10.7566,2.03125,3.91969,2.14503,0.00083,0.04244,0.00075,0.0002,2.03809,4.18941,2.02113,0.0310679,6.78562e-05,6.78562e-05
15,11.5219,2.01047,4.2461,2.23777,0.00137,0.06832,0.00103,0.00024,1.96959,4.17982,1.96359,0.0260726,7.25787e-05,7.25787e-05
16,11.9972,1.92464,4.00477,2.14685,0.00133,0.06595,0.00115,0.00027,1.86811,4.1651,1.88766,0.0210773,7.72601e-05,7.72601e-05
17,12.4309,2.03344,3.92122,2.14485,0.00132,0.0654,0.00104,0.00025,1.83016,4.14293,1.84435,0.0160819,8.18974e-05,8.18974e-05
18,12.8971,1.92491,3.84245,2.12067,0.00146,0.07436,0.00095,0.00021,1.72609,4.08813,1.74736,0.0110865,8.64881e-05,8.64881e-05
19,13.3383,1.81205,3.8972,2.01128,0.00186,0.09688,0.00119,0.00029,1.67872,4.06532,1.71066,0.00609103,9.10295e-05,9.10295e-05
20,13.9144,1.99818,3.78706,2.05688,0.00258,0.1368,0.00185,0.00057,1.59954,4.02247,1.65272,0.00109552,9.5519e-05,9.5519e-05
21,14.4097,1.82084,3.77976,2.03187,0.00337,0.18868,0.00248,0.00107,1.54588,3.99308,1.61757,9.61095e-05,9.61095e-05,9.61095e-05
22,14.7933,2.06926,3.76317,2.06962,0.00312,0.18344,0.00227,0.00095,1.53132,3.97444,1.60482,9.57172e-05,9.57172e-05,9.57172e-05
23,15.3351,1.96505,3.9634,2.09534,0.0033,0.19391,0.00245,0.00098,1.49474,3.94138,1.57693,9.5307e-05,9.5307e-05,9.5307e-05
24,15.8866,1.86716,3.68246,1.9918,0.00377,0.22028,0.00267,0.0011,1.48978,3.91219,1.56933,9.48792e-05,9.48792e-05,9.48792e-05
25,16.4116,2.02256,3.91168,2.13706,0.00369,0.22297,0.00265,0.00107,1.48875,3.90465,1.5708,9.44338e-05,9.44338e-05,9.44338e-05
26,16.931,1.96047,3.89516,2.08258,0.00374,0.22004,0.00275,0.00105,1.5091,3.89359,1.58347,9.39711e-05,9.39711e-05,9.39711e-05
27,17.4673,1.89692,3.75743,2.09849,0.00461,0.26464,0.00359,0.00121,1.58042,3.89211,1.63044,9.34914e-05,9.34914e-05,9.34914e-05
28,17.8911,1.88057,3.7233,2.03,0.00479,0.27298,0.0037,0.00119,1.63273,3.89913,1.66599,9.29948e-05,9.29948e-05,9.29948e-05
29,18.4323,1.91206,3.8518,2.07991,0.00574,0.31836,0.00443,0.00158,1.67625,3.90987,1.70681,9.24815e-05,9.24815e-05,9.24815e-05
30,19.0045,1.85954,3.90176,2.13636,0.00484,0.27868,0.00389,0.00123,1.64153,3.90775,1.68877,9.19517e-05,9.19517e-05,9.19517e-05
31,19.4924,1.95213,3.86103,2.08432,0.00541,0.30495,0.00422,0.00143,1.61542,3.90993,1.68047,9.14058e-05,9.14058e-05,9.14058e-05
